request_id,latency_seconds
582,107.41785001754761
583,128.14953112602234
584,107.3894670009613
585,128.28768515586853
586,107.39617109298706
587,128.15338802337646
588,128.15444040298462
589,107.34567594528198
590,107.27716588973999
591,105.47722482681274
592,107.37820482254028
593,107.37858414649963
594,128.28757214546204
595,128.22778868675232
596,128.29984402656555
597,107.36649990081787
598,107.32884216308594
599,107.36283111572266
600,107.36946415901184
601,107.33406901359558
602,128.22869300842285
603,107.38594937324524
604,107.32626461982727
605,106.08491587638855
606,107.32347297668457
607,129.50874590873718
608,128.15760016441345
609,107.19103598594666
610,107.3212890625
611,107.35580086708069
612,107.34529995918274
613,107.31652402877808
614,107.39274406433105
615,128.24522495269775
616,107.25069689750671
617,128.76817989349365
618,107.36395597457886
619,107.30700182914734
620,128.16072916984558
621,106.93738794326782
622,106.12554383277893
623,107.36788988113403
624,107.35206985473633
625,107.37257790565491
626,129.43799495697021
627,129.46604585647583
628,107.30559706687927
629,128.16560220718384
630,128.16670179367065
631,128.29180884361267
632,128.23071789741516
633,107.33490991592407
634,98.64135336875916
635,107.29607391357422
636,128.63313007354736
637,107.29387068748474
638,129.46639704704285
639,129.46373510360718
640,107.23071789741516
641,106.04458212852478
642,107.3500189781189
643,128.16951203346252
644,107.22494888305664
645,128.22504496574402
646,107.28076696395874
647,129.4506459236145
648,107.28531503677368
649,107.21162915229797
650,128.722336769104
651,106.89816784858704
652,107.30844020843506
653,107.2797999382019
654,128.718266248703
655,107.3403251171112
656,107.31256103515625
657,98.61362385749817
658,107.20122790336609
659,128.71733403205872
660,130.18508791923523
661,106.02393889427185
662,130.29684114456177
663,107.30087614059448
664,107.20245695114136
665,107.26107907295227
666,107.3163070678711
667,130.32927417755127
668,130.18133091926575
669,107.33231902122498
670,128.71011805534363
671,107.29146599769592
672,107.16173696517944
673,128.2325360774994
674,107.19080305099487
675,107.29921412467957
676,130.27504801750183
677,107.30088210105896
678,129.4066779613495
679,129.3718659877777
680,107.24123287200928
681,107.24200391769409
682,107.1738350391388
683,105.99415516853333
